male,book1,book2,book3,book4,book5,isMarried,isNoble,numDeadRelations,popularity,isAlive
1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1
1,0,0,0,1,0,0,1,1
0,0,0,0,0,0,1,1,0
0,0,0,0,1,0,1,1,1
1,0,0,0,0,0,0,0,1
1,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,1,1
1,1,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,1
1,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,1,1
0,0,0,0,1,0,0,1,1
1,0,1,0,0,0,0,0,1
1,1,0,0,1,0,0,1,1
0,0,0,0,0,0,0,1,1
0,0,0,0,1,0,0,0,1
1,1,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0
1,0,1,0,0,0,0,0,0
1,0,0,0,1,1,0,0,1
0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,1
1,1,0,1,0,0,0,0,1
0,0,0,0,1,1,0,0,1
1,0,0,0,1,0,0,0,1
1,0,0,0,1,0,0,0,1
1,0,0,0,1,0,0,0,1
1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,1,1
1,0,0,1,0,0,0,0,0
0,0,0,0,0,1,1,0,1
0,0,0,0,1,0,0,1,1
0,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
0,0,0,1,1,0,0,0,1
1,0,1,1,1,1,0,0,1
1,1,1,1,0,1,0,1,1
